StationID,Seasons,Temp,Dissolved_Oxygen,Cond,pH,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Si
M01,Dry,26.2,7,507,7.44,35.803686,7.055595,7.442961,43.274316,0.175237,42.075326,2.517879,14.38788,184.819697,7.175494
M02,Dry,28.2,5.14,348,7.54,15.681536,4.20608,2.099072,4.337024,0.05952,19.784448,1.614976,5.174272,31.950336,4.170368
M03,Dry,29.8,8.17,2452,7.82,13.78608,0.25737,0.603514,2.33125,0.005595,24.936915,0,0.241704,6.518921,0.502431
M04,Dry,26.5,6.2,252,7.5,0.099197,0.030451,0.016613,0.03848,0.000518,0.130573,0.014097,0.051393,0.196359,0.045251
M05,Dry,28.4,7.38,980,7.66,5.02804,0.524065,0.43268,1.118627,0.007833,8.044491,0,0.684082,5.46072,0.299146
M06,Dry,26.8,6.6,300,7.7,0.980617,0.190976,0.281615,0.822465,0.013055,1.029853,0,0.17158,4.505094,0.419625
M07,Dry,28.1,5.17,313,7.4,5.9584,1.16704,1.232,4.17536,0.04704,12.62688,0.08064,0.48384,14.14336,2.67456
M08,Dry,28.3,6.5,951,7.63,1300.63556,55.912591,72.585044,254.600332,2.579164,2165.760856,10.224543,161.566202,851.308346,109.798696
M09,Dry,26.9,5.96,995,7.47,1842.5858,45.864984,70.622948,271.310776,2.510024,3085.504048,7.758256,156.077856,824.771068,141.816356
M10,Dry,26.2,6.34,278,7.23,0.802323,0.095861,0.120479,0.954134,0.005595,2.536027,0.007833,0.120479,0.853424,0.181651
M11,Dry,25.5,6.36,216,6.62,0.133533,0.006438,0.005439,0.004773,0.000555,0.214711,0.000777,0.008103,0.027084,0.016983
M12,Dry,31.2,7.68,78,6.68,21.634516,4.955211,2.720508,9.910422,0.388644,35.431378,0,3.497796,53.341389,25.294247
M13,Dry,30.1,7.6,291,6.98,1747.74623,165.68992,102.14407,390.21859,5.64852,2561.13311,377.03871,265.48044,1593.82406,343.14759
M14,Dry,29.3,6.2,250,7.57,1938.153248,305.931124,322.73081,1545.571112,15.031298,2427.11253,0,527.863818,6472.30008,750.680706
M15,Dry,28.4,4.14,187,7.22,35.775054,28.85085,13.720182,42.485548,0.299194,78.089634,5.941138,14.9597,242.475366,53.812178
M16,Dry,29.4,3.95,115,6.92,18.747105,18.629013,5.166525,23.470785,0.236184,29.139201,0,3.572283,116.173005,23.411739
M17,Dry,27.7,7.62,264,7.59,917.84195,248.47655,896.54396,2731.21367,8.11352,1619.66143,102.43319,1801.20144,9799.10378,1012.16162
M18,Dry,28.7,6.45,211,7.67,21.982838,0.918852,1.538381,2.610375,0.048727,33.907031,0.146181,1.301707,13.379042,5.213789
M19,Dry,30.6,7.1,354,7.1,37.887558,1.105116,2.2401,6.339483,0.07467,54.822714,0,4.047114,28.016184,9.460689
M01,Wet,29.3,4.6,497,7.67,67.28,13.568,13.2,73.872,0.32,72.928,0.848,45.376,294.448,14.96
M02,Wet,29.1,5.11,269,7.4,119.626,34.658,25.026,60.028,0.688,121.604,11.653,52.804,374.358,56.545
M03,Wet,31.1,4.7,1996,7.55,1370.166,17.094,58.758,262.08,1.302,2532.642,0,40.992,505.386,55.44
M04,Wet,30.1,5.76,272,7.61,506.16,168.606,94.734,204.687,2.565,555.75,42.237,157.662,1452.474,221.958
M05,Wet,30.4,3.5,665,7.38,2190.876,248.46,199.752,697.41,5.658,3250.89,64.698,445.014,2873.034,342.924
M06,Wet,29.7,4,169,7.21,91.455,27.403,26.398,87.435,1.206,92.125,4.891,41.875,449.704,68.072
M07,Wet,30.9,5.73,94,7.06,306.757,87.191,63.893,199.445,6.707,346.293,24.357,142.259,1099.242,268.28
M08,Wet,30.4,3.59,324,6.9,17530.5,923.65,950.04,3886.87,49.01,28437.11,128.18,2326.09,12806.69,2450.5
M09,Wet,29.7,3.91,193,6.8,12122.69,1136.797,764.154,2924.54,66.038,19080.265,212.265,1952.838,12353.823,2896.238
M10,Wet,20.3,4.24,65,6.67,418.168,107.548,57.448,265.864,10.02,449.564,134.936,201.736,1276.548,384.768
M11,Wet,30,2.97,126,6.47,1476.449,165.8,70.465,264.451,9.119,2290.527,25.699,285.176,1173.864,281.031
M12,Wet,29,4.99,42,6.48,175.278,64.224,22.3,104.81,16.056,250.652,24.084,57.98,473.652,185.982
M13,Wet,27.9,4.74,40,6.36,203.136,92.736,29.256,106.536,8.832,308.016,16.56,74.52,449.328,213.624
M15,Wet,27.7,5.01,36,6.44,368.368,202.216,85.008,229.264,9.016,633.696,61.824,230.552,1178.52,687.792
M16,Wet,27.3,4.94,31,6.51,281.324,208.339,67.677,270.708,23.886,500.279,99.525,244.168,728.523,525.492
M18,Wet,26.7,5.05,50,6.52,185.121,34.077,19.648,55.567,2.763,253.582,0,48.813,326.034,101.924
M19,Wet,27.5,4.53,56,6.54,1504.922,318.662,160.494,600.108,146.538,2023.62,0,316.336,2470.212,874.576
