StationID,Seasons,Temp,Dissolved_Oxygen,Cond,pH,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Si
M01,Dry,26,7,507,7.4,35.803686,7.055595,43.274316,7.442961,0.175237,42.075326,184.819697,2.517879,14.38788,7.175494
M02,Dry,28.1,5.1,348,7.6,15.681536,4.20608,4.337024,2.099072,0.05952,19.784448,31.950336,1.614976,5.174272,4.170368
M03,Dry,29.9,8.2,2449,7.8,13.78608,0.25737,2.33125,0.603514,0.005595,24.936915,6.518921,0,0.241704,0.502431
M04,Dry,26.6,6.2,252,7.5,0.099197,0.030451,0.03848,0.016613,0.000518,0.130573,0.196359,0.014097,0.051393,0.045251
M05,Dry,28.4,7.5,979,7.7,5.02804,0.524065,1.118627,0.43268,0.007833,8.044491,5.46072,0,0.684082,0.299146
M06,Dry,26.8,6.6,300,7.7,0.980617,0.190976,0.822465,0.281615,0.013055,1.029853,4.505094,0,0.17158,0.419625
M07,Dry,28,5.2,313,7.4,5.9584,1.16704,4.17536,1.232,0.04704,12.62688,14.14336,0.08064,0.48384,2.67456
M08,Dry,28.3,6.5,950,7.6,1300.63556,55.912591,254.600332,72.585044,2.579164,2165.760856,851.308346,10.224543,161.566202,109.798696
M09,Dry,26.9,6,994,7.6,1842.5858,45.864984,271.310776,70.622948,2.510024,3085.504048,824.771068,7.758256,156.077856,141.816356
M10,Dry,26.2,6.3,279,7.2,0.802323,0.095861,0.954134,0.120479,0.005595,2.536027,0.853424,0.007833,0.120479,0.181651
M11,Dry,25.6,6.3,217,7,0.133533,0.006438,0.004773,0.005439,0.000555,0.214711,0.027084,0.000777,0.008103,0.016983
M12,Dry,31.8,7.7,78,6.7,21.634516,4.955211,9.910422,2.720508,0.388644,35.431378,53.341389,0,3.497796,25.294247
M13,Dry,30.4,7.5,291,7,1747.74623,165.68992,390.21859,102.14407,5.64852,2561.13311,1593.82406,377.03871,265.48044,343.14759
M14,Dry,28.9,6.2,250,7.8,1938.153248,305.931124,1545.571112,322.73081,15.031298,2427.11253,6472.30008,0,527.863818,750.680706
M15,Dry,28.4,4.1,169,7.2,35.775054,28.85085,42.485548,13.720182,0.299194,78.089634,242.475366,5.941138,14.9597,53.812178
M16,Dry,29.4,4,115,7.7,18.747105,18.629013,23.470785,5.166525,0.236184,29.139201,116.173005,0,3.572283,23.411739
M17,Dry,27.8,7.6,264,7.7,917.84195,248.47655,2731.21367,896.54396,8.11352,1619.66143,9799.10378,102.43319,1801.20144,1012.16162
M18,Dry,28.3,6.5,211,7.7,21.982838,0.918852,2.610375,1.538381,0.048727,33.907031,13.379042,0.146181,1.301707,5.213789
M19,Dry,30.5,7.1,354,7.1,37.887558,1.105116,6.339483,2.2401,0.07467,54.822714,28.016184,0,4.047114,9.460689
M01,Wet,31,4.6,560,7.7,67.28,13.568,73.872,13.2,0.32,72.928,294.448,0.848,45.376,14.96
M02,Wet,30,5.1,300,7.4,119.626,34.658,60.028,25.026,0.688,121.604,374.358,11.653,52.804,56.545
M03,Wet,32,4.7,2357,7.6,1370.166,17.094,262.08,58.758,1.302,2532.642,505.386,0,40.992,55.44
M04,Wet,30,5.8,306,7.6,506.16,168.606,204.687,94.734,2.565,555.75,1452.474,42.237,157.662,221.958
M05,Wet,32,3.5,766,7.4,2190.876,248.46,697.41,199.752,5.658,3250.89,2873.034,64.698,445.014,342.924
M06,Wet,28,4,189,7.2,91.455,27.403,87.435,26.398,1.206,92.125,449.704,4.891,41.875,68.072
M07,Wet,33,5.7,105,7.1,306.757,87.191,199.445,63.893,6.707,346.293,1099.242,24.357,142.259,268.28
M08,Wet,33,3.6,371,6.9,17530.5,923.65,3886.87,950.04,49.01,28437.11,12806.69,128.18,2326.09,2450.5
M09,Wet,28,3.9,216,6.8,12122.69,1136.797,2924.54,764.154,66.038,19080.265,12353.823,212.265,1952.838,2896.238
M10,Wet,30,4.2,72,6.7,418.168,107.548,265.864,57.448,10.02,449.564,1276.548,134.936,201.736,384.768
M11,Wet,26,3,140,6.5,1476.449,165.8,264.451,70.465,9.119,2290.527,1173.864,25.699,285.176,281.031
M12,Wet,29,5,45,6.5,175.278,64.224,104.81,22.3,16.056,250.652,473.652,24.084,57.98,185.982
M13,Wet,29,4.7,42,6.4,203.136,92.736,106.536,29.256,8.832,308.016,449.328,16.56,74.52,213.624
M15,Wet,28,5,39,6.4,368.368,202.216,229.264,85.008,9.016,633.696,1178.52,61.824,230.552,687.792
M16,Wet,25,4.9,32,6.5,281.324,208.339,270.708,67.677,23.886,500.279,728.523,99.525,244.168,525.492
M18,Wet,25,5.1,52,6.5,185.121,34.077,55.567,19.648,2.763,253.582,326.034,0,48.813,101.924
M19,Wet,25,4.5,59,6.5,1504.922,318.662,600.108,160.494,146.538,2023.62,2470.212,0,316.336,874.576
