StationID,Seasons,Temp,Cond,pH,WatershedArea (km2),Flowrate (m3 s-1),Na(mg L-1),K(mg L-1),Ca(mg L-1),Mg(mg L-1),Cl(mg L-1),HCO3(mg L-1),NO3(mg L-1),SO4(mg L-1),Si(mg L-1)
M01,Dry,26,507,7.4,3420,0.9223,38.82,7.65,46.92,8.07,45.62,200.39,2.73,15.6,7.78
M02,Dry,28.1,348,7.6,2319,0.3968,39.52,10.6,10.93,5.29,49.86,80.52,4.07,13.04,10.51
M03,Dry,29.9,2449,7.8,2888,0.0373,369.6,6.9,62.5,16.18,668.55,174.77,0,6.48,13.47
M04,Dry,26.6,252,7.5,2898,0.0037,26.81,8.23,10.4,4.49,35.29,53.07,3.81,13.89,12.23
M05,Dry,28.4,979,7.7,1061,0.0373,134.8,14.05,29.99,11.6,215.67,146.4,0,18.34,8.02
M06,Dry,26.8,300,7.7,1654,0.0373,26.29,5.12,22.05,7.55,27.61,120.78,0,4.6,11.25
M07,Dry,28,313,7.4,5934,0.224,26.6,5.21,18.64,5.5,56.37,63.14,0.36,2.16,11.94
M08,Dry,28.3,950,7.6,3666,9.2113,141.2,6.07,27.64,7.88,235.12,92.42,1.11,17.54,11.92
M09,Dry,26.9,994,7.6,7869,11.4092,161.5,4.02,23.78,6.19,270.44,72.29,0.68,13.68,12.43
M10,Dry,26.2,279,7.2,4966,0.0373,21.51,2.57,25.58,3.23,67.99,22.88,0.21,3.23,4.87
M11,Dry,25.6,217,7,4443,0.0037,36.09,1.74,1.29,1.47,58.03,7.32,0.21,2.19,4.59
M12,Dry,31.8,78,6.7,3803,3.2387,6.68,1.53,3.06,0.84,10.94,16.47,0,1.08,7.81
M13,Dry,30.4,291,7,3376,47.071,37.13,3.52,8.29,2.17,54.41,33.86,8.01,5.64,7.29
M14,Dry,28.9,250,7.8,2681,88.4194,21.92,3.46,17.48,3.65,27.45,73.2,0,5.97,8.49
M15,Dry,28.4,169,7.2,3360,4.2742,8.37,6.75,9.94,3.21,18.27,56.73,1.39,3.5,12.59
M16,Dry,29.4,115,7.7,4840,2.9523,6.35,6.31,7.95,1.75,9.87,39.35,0,1.21,7.93
M17,Dry,27.8,264,7.7,4041,101.419,9.05,2.45,26.93,8.84,15.97,96.62,1.01,17.76,9.98
M18,Dry,28.3,211,7.7,3493,0.6961,31.58,1.32,3.75,2.21,48.71,19.22,0.21,1.87,7.49
M19,Dry,30.5,354,7.1,3878,0.7467,50.74,1.48,8.49,3,73.42,37.52,0,5.42,12.67
M01,Wet,31,560,7.7,3420,1.6,42.05,8.48,46.17,8.25,45.58,184.03,0.53,28.36,9.35
M02,Wet,30,300,7.4,2319,4.3,27.82,8.06,13.96,5.82,28.28,87.06,2.71,12.28,13.15
M03,Wet,32,2357,7.6,2888,4.2,326.23,4.07,62.4,13.99,603.01,120.33,0,9.76,13.2
M04,Wet,30,306,7.6,2898,17.1,29.6,9.86,11.97,5.54,32.5,84.94,2.47,9.22,12.98
M05,Wet,32,766,7.4,1061,24.6,89.06,10.1,28.35,8.12,132.15,116.79,2.63,18.09,13.94
M06,Wet,28,189,7.2,1654,6.7,13.65,4.09,13.05,3.94,13.75,67.12,0.73,6.25,10.16
M07,Wet,33,105,7.1,5934,35.3,8.69,2.47,5.65,1.81,9.81,31.14,0.69,4.03,7.6
M08,Wet,33,371,6.9,3666,377,46.5,2.45,10.31,2.52,75.43,33.97,0.34,6.17,6.5
M09,Wet,28,216,6.8,7869,471.7,25.7,2.41,6.2,1.62,40.45,26.19,0.45,4.14,6.14
M10,Wet,30,72,6.7,4966,66.8,6.26,1.61,3.98,0.86,6.73,19.11,2.02,3.02,5.76
M11,Wet,26,140,6.5,4443,82.9,17.81,2,3.19,0.85,27.63,14.16,0.31,3.44,3.39
M12,Wet,29,45,6.5,3803,44.6,3.93,1.44,2.35,0.5,5.62,10.62,0.54,1.3,4.17
M13,Wet,29,42,6.4,3376,55.2,3.68,1.68,1.93,0.53,5.58,8.14,0.3,1.35,3.87
M14,Wet,25,195,7.3,3360,0,19.39,3.07,10.12,2.24,27.45,42.47,0,4.04,7.06
M15,Wet,28,39,6.4,4840,128.8,2.86,1.57,1.78,0.66,4.92,9.15,0.48,1.79,5.34
M16,Wet,25,32,6.5,3493,132.7,2.12,1.57,2.04,0.51,3.77,5.49,0.75,1.84,3.96
M17,Wet,25,106,7.4,3878,0,3.74,1.39,11.62,2.38,5.46,42.47,0,3.35,7.16
M18,Wet,25,52,6.5,3493,30.7,6.03,1.11,1.81,0.64,8.26,10.62,0,1.59,3.32
M19,Wet,25,59,6.5,3878,232.6,6.47,1.37,2.58,0.69,8.7,10.62,0,1.36,3.76
