StationID,Seasons,Temp,Dissolved_Oxygen,Cond,pH,Na,K,Ca,Mg,Cl,HCO3,NO3,SO4,Si,Flowrate (m3/s)
M01,Dry,26,7,507,7.4,38.82,7.65,46.92,8.07,45.62,200.39,2.73,15.6,7.78,0.9223
M02,Dry,28.1,5.1,348,7.6,39.52,10.6,10.93,5.29,49.86,80.52,4.07,13.04,10.51,0.3968
M03,Dry,29.9,8.2,2449,7.8,369.6,6.9,62.5,16.18,668.55,174.77,       -   ,6.48,13.47,0.0373
M04,Dry,26.6,6.2,252,7.5,26.81,8.23,10.4,4.49,35.29,53.07,3.81,13.89,12.23,0.0037
M05,Dry,28.4,7.5,979,7.7,134.8,14.05,29.99,11.6,215.67,146.4,       -   ,18.34,8.02,0.0373
M06,Dry,26.8,6.6,300,7.7,26.29,5.12,22.05,7.55,27.61,120.78,       -   ,4.6,11.25,0.0373
M07,Dry,28,5.2,313,7.4,26.6,5.21,18.64,5.5,56.37,63.14,0.36,2.16,11.94,0.224
M08,Dry,28.3,6.5,950,7.6,141.2,6.07,27.64,7.88,235.12,92.42,1.11,17.54,11.92,9.2113
M09,Dry,26.9,6,994,7.6,161.5,4.02,23.78,6.19,270.44,72.29,0.68,13.68,12.43,11.4092
M10,Dry,26.2,6.3,279,7.2,21.51,2.57,25.58,3.23,67.99,22.88,0.21,3.23,4.87,0.0373
M11,Dry,25.6,6.3,217,7,36.09,1.74,1.29,1.47,58.03,7.32,0.21,2.19,4.59,0.0037
M12,Dry,31.8,7.7,78,6.7,6.68,1.53,3.06,0.84,10.94,16.47,       -   ,1.08,7.81,3.2387
M13,Dry,30.4,7.5,291,7,37.13,3.52,8.29,2.17,54.41,33.86,8.01,5.64,7.29,47.071
M14,Dry,28.9,6.2,250,7.8,21.92,3.46,17.48,3.65,27.45,73.2,       -   ,5.97,8.49,88.4194
M15,Dry,28.4,4.1,169,7.2,8.37,6.75,9.94,3.21,18.27,56.73,1.39,3.5,12.59,4.2742
M16,Dry,29.4,4,115,7.7,6.35,6.31,7.95,1.75,9.87,39.35,       -   ,1.21,7.93,2.9523
M17,Dry,27.8,7.6,264,7.7,9.05,2.45,26.93,8.84,15.97,96.62,1.01,17.76,9.98,101.419
M18,Dry,28.3,6.5,211,7.7,31.58,1.32,3.75,2.21,48.71,19.22,0.21,1.87,7.49,0.6961
M19,Dry,30.5,7.1,354,7.1,50.74,1.48,8.49,3,73.42,37.52,       -   ,5.42,12.67,0.7467
M01,Wet,31,4.6,560,7.7,42.05,8.48,46.17,8.25,45.58,184.03,0.53,28.36,9.35,1.6
M02,Wet,30,5.1,300,7.4,27.82,8.06,13.96,5.82,28.28,87.06,2.71,12.28,13.15,4.3
M03,Wet,32,4.7,2357,7.6,326.23,4.07,62.4,13.99,603.01,120.33,      -   ,9.76,13.2,4.2
M04,Wet,30,5.8,306,7.6,29.6,9.86,11.97,5.54,32.5,84.94,2.47,9.22,12.98,17.1
M05,Wet,32,3.5,766,7.4,89.06,10.1,28.35,8.12,132.15,116.79,2.63,18.09,13.94,24.6
M06,Wet,28,4,189,7.2,13.65,4.09,13.05,3.94,13.75,67.12,0.73,6.25,10.16,6.7
M07,Wet,33,5.7,105,7.1,8.69,2.47,5.65,1.81,9.81,31.14,0.69,4.03,7.6,35.3
M08,Wet,33,3.6,371,6.9,46.5,2.45,10.31,2.52,75.43,33.97,0.34,6.17,6.5,377
M09,Wet,28,3.9,216,6.8,25.7,2.41,6.2,1.62,40.45,26.19,0.45,4.14,6.14,471.7
M10,Wet,30,4.2,72,6.7,6.26,1.61,3.98,0.86,6.73,19.11,2.02,3.02,5.76,66.8
M11,Wet,26,3,140,6.5,17.81,2,3.19,0.85,27.63,14.16,0.31,3.44,3.39,82.9
M12,Wet,29,5,45,6.5,3.93,1.44,2.35,0.5,5.62,10.62,0.54,1.3,4.17,44.6
M13,Wet,29,4.7,42,6.4,3.68,1.68,1.93,0.53,5.58,8.14,0.3,1.35,3.87,55.2
M14,Wet,25,4.8,195,7.3,19.39,3.07,10.12,2.24,27.45,42.47,      -   ,4.04,7.06,-
M15,Wet,28,5,39,6.4,2.86,1.57,1.78,0.66,4.92,9.15,0.48,1.79,5.34,128.8
M16,Wet,25,4.9,32,6.5,2.12,1.57,2.04,0.51,3.77,5.49,0.75,1.84,3.96,132.7
M17,Wet,25,5.9,106,7.4,3.74,1.39,11.62,2.38,5.46,42.47,      -   ,3.35,7.16,-
M18,Wet,25,5.1,52,6.5,6.03,1.11,1.81,0.64,8.26,10.62,      -   ,1.59,3.32,30.7
M19,Wet,25,4.5,59,6.5,6.47,1.37,2.58,0.69,8.7,10.62,      -   ,1.36,3.76,232.6
