StationID,Seasons,pH,Cond,Temp,Dissolved_Oxygen,TDS,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Si
M01,Dry,8.51,344.3,28.8,11.82,208.65,0.417033158,0.193497487,1.52416634,0.17169052,0.004052316,0.68014383,9.658654356,0.015619058,0.868758284,0.215304516
M02,Dry,8.15,347.9,26,7.37,221.65,0.407837278,0.193849371,1.69810486,0.171568995,0.002948272,0.646223361,10.60777068,0.013864304,0.813866732,0.272049713
M03,Dry,7.44,507,26.2,7,325,0.892460154,0.299101995,1.88045976,0.196068435,0.003674947,1.617444134,12.22685147,0.169084526,1.49886526,0.467529017
M04,Dry,7.57,250.1,29.3,6.2,150.15,0.503934224,0.135280118,0.70056344,0.08876186,0.003157481,0.973339816,4.46642976,0,0.573859687,0.510343762
M05,Dry,7.52,253.7,29.2,7.17,152.1,0.553591976,0.130158241,0.6793221,0.08803271,0.002688836,1.096158886,4.109115379,0.094645027,0.524597019,0.450887032
M06,Dry,7.59,263.8,27.7,7.62,163.15,0.208010806,0.095790835,1.07930054,0.214734675,0.001487509,0.566197232,5.895687283,0.062335019,1.705679315,0.599405842
M07,Dry,6.3,22.9,30.1,7.76,13.65,0.030806198,0.048638285,0.042923538,0.011085511,0.000975959,0.061269033,0.480141199,0,0.075767455,0.264643953
M08,Dry,7.59,263.8,30.6,8.02,154.7,0.57014456,0.134928233,0.70176578,0.09075487,0.002688426,1.116995006,4.209610049,0.077986301,0.570351339,0.456709692
M09,Dry,7.34,258.3,30.4,6.71,152.1,0.562557959,0.136335772,0.69375018,0.087862575,0.003004615,1.079100989,4.209610049,0.099858644,0.604147214,0.465484685
M10,Dry,7.64,278.1,30.4,7.11,163.8,0.602789934,0.144976496,0.76428746,0.09581031,0.002324567,1.152562222,4.522260132,0.09157026,0.653837087,0.502060824
M11,Dry,7.9,393.2,29.8,7.79,234,1.044192174,0.128672505,0.84644736,0.10912945,0.003037043,2.244130182,4.522260132,0.050742156,0.991219739,0.592927109
M12,Dry,7.62,264,29.9,6.13,157.3,0.555890946,0.139932816,0.73503052,0.093355505,0.003604247,1.065367076,4.410599388,0.094165505,0.623284444,0.497222277
M13,Dry,7.67,211,28.7,6.45,128.05,0.726014726,0.051570658,0.150452812,0.05366544,0.0013335,1.727060836,1.172437812,0.013078575,0.179558076,0.449738903
M14,Dry,7.1,354,30.6,7.1,208,1.166497378,0.057826386,0.340342376,0.072793475,0.001849369,2.603064707,2.289045252,0,0.52028728,0.761210156
M15,Dry,7.24,242,28.8,6.81,146.25,0.509681649,0.134068071,0.69775798,0.08706051,0.003733917,0.967347867,4.298938644,0.09382034,0.558260317,0.500174611
M16,Dry,7.9,216.9,33,7.85,122.2,0.374502213,0.09152912,0.62641914,0.06601238,0.002083989,0.833479297,3.550811659,0.028682408,0.285753302,0.47401365
M17,Dry,6.47,47.1,29.7,6.22,27.95,0.085222818,0.062635477,0.14107456,0.016802047,0.002342174,0.096339267,1.004946696,0.06155907,0.101181457,0.343700901
M18,Dry,6.92,115.2,29.4,3.95,68.9,0.145915626,0.246710273,0.318580022,0.04258236,0.001507344,0.349837855,2.400705996,0,0.116298472,0.476391919
M19,Dry,7.18,564,31,7.22,331.5,2.036197729,0.06693629,0.356333498,0.061467345,0.001554139,4.85090401,1.898232648,0,1.217193034,0.80073863
M20,Dry,7.79,253,29.3,6.25,152.1,0.526004336,0.133716186,0.68413146,0.0870119,0.002618877,1.051837785,4.354769016,0.08874036,0.540773196,0.490497516
M21,Dry,7.72,246.8,28.9,6.43,149.5,0.520946602,0.133677088,0.6913455,0.08686607,0.002462241,0.998505788,4.1872779,0.099966109,0.543543934,0.504521103
M22,Dry,7.42,505,30.4,6.31,299,1.48053668,0.147087805,0.77029916,0.125146445,0.003370328,3.85319446,4.075617156,0.174000729,0.42165855,0.508703576
M23,Dry,7.13,189.3,29.6,7.53,113.1,0.473817717,0.116786622,0.309642628,0.0641652,0.001502804,1.224550736,1.95406302,0.020242149,0.178754628,0.643362817
M24,Dry,7.22,186.6,28.4,4.14,113.75,0.19235482,0.263913525,0.39837532,0.078091965,0.001240234,0.647609648,3.461483064,0.085916693,0.336343351,0.756371608
M25,Dry,7.91,479.95,29.3,7.7,287.95,1.550885162,0.116161049,0.57672242,0.103952485,0.003807266,3.803042899,3.517313436,0,0.242382339,0.52887786
M26,Dry,6.98,290.9,30.1,7.6,172.25,0.853607561,0.137665114,0.33224662,0.052766155,0.002305036,1.92896863,2.065723764,0.496405228,0.542154304,0.438011575
M27,Dry,6.3,65.6,31.2,6.95,38.35,0.098763751,0.087071914,0.086247856,0.029822235,0.001966616,0.310393476,0.83745558,0,0.043163145,0.438421622
M28,Dry,6.68,77.9,31.2,7.68,45.5,0.153456248,0.059624908,0.122478368,0.020532864,0.002308335,0.388000535,1.004946696,0,0.104210278,0.468929075
M29,Dry,6.88,291.7,31.3,5.7,169.65,0.730612666,0.187476349,0.59355518,0.04515869,0.002414941,0.595303311,2.400705996,0.064591175,5.041995007,1.278934753
M30,Dry,7.47,1115,28.1,5.19,682.5,3.89215621,0.221570066,1.29732486,0.179589645,0.00333033,10.00016117,4.801411992,0.19683261,3.002222724,1.039113456
M31,Dry,6.91,165,26.5,3.77,104.65,0.444161004,0.098801404,0.348558366,0.07976901,0.006025334,0.645870862,3.405652692,0.073401631,0.178774187,0.674519265
M32,Dry,7.76,1308,25.6,6.48,838.5,4.91289889,0.198462971,1.7353774,0.20508559,0.00387822,12.81947154,5.080563852,0.076870968,3.914581313,0.796638165
